title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Understanding Gut-Brain Interplay in Scientific Literature: A Hybrid Approach from Classification to Generative LLM Reasoning.,"C Lee, SE Doneva, MJ Rodriguez-Cubillos…",2025,2,"… classification, generative sequence-to-sequence approaches using encoder-decoder … We utilised encoder-only Transformer models for token classification, mainly focusing on …",CqBXU_irfikJ,"C Lee, SE Doneva, MJ Rodriguez-Cubillos… - CLEF (Working …, 2025 - ceur-ws.org",[],https://ceur-ws.org/Vol-4038/paper_27.pdf,unknown,unknown
Rationale-guided distillation for e-commerce relevance classification: Bridging large language models and lightweight cross-encoders,"S Agrawal, F Ahemad, VV Sembium",2025,6,"… relevance classification by harnessing the reasoning … Our architecture, shown in Figure 1, consists of a transformer-… generated from our crossencoder-decoder are coherent and …",kAkPAPY2WpAJ,"S Agrawal, F Ahemad, VV Sembium - Proceedings of the 31st …, 2025 - aclanthology.org",[],https://aclanthology.org/2025.coling-industry.12/,unknown,unknown
Error Understanding in Program Code With LLM-DL for Multi-label Classification,"MFI Amin, Y Watanobe, MM Rahman…",2026,2,"… in domains like sentiment analysis and mathematical reasoning, its … a unified LLM-DL hybrid approach for MLC of programming errors. By integrating pre-trained transformerbased LLM …",LCPDSjxH8Y0J,"MFI Amin, Y Watanobe, MM Rahman… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.25005,unknown,unknown
Building novel LLM-enabled explainable ensemble transformer models combining endoscopic and CT images for discriminating the different grades of …,"A Algarni, AA Al-Eidan, SB Khan, MA Halwani…",2026,0,"… X-LLM driven intelligent systems for the classification of severity … to concatenate the features from the encoder–decoder at the … visual reasoning with diagnosis reports, the LLM produces …",vXJBXSRdiB0J,"A Algarni, AA Al-Eidan, SB Khan, MA Halwani… - Frontiers in …, 2026 - frontiersin.org",[],https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1789769/full,unknown,unknown
"Exploring Transformer-based LLMs Models, Applications, and Challenges in Law: A Survey","PJ Lai, LX Liao, J Chen, M Zhang…",2026,0,"… , decoder-only, and encoder–decoder structure, as well as … , classification, and entity recognition; encoder–decoder … [8] demonstrate strong generative and reasoning capabilities. Each …",Pv8ZRmtaFGsJ,"PJ Lai, LX Liao, J Chen, M Zhang… - Journal of Internet …, 2026 - jit.ndhu.edu.tw",[],https://jit.ndhu.edu.tw/article/view/3267,unknown,unknown
Causal Reasoning Favors Encoders: On The Limits of Decoder-Only Models,"A Roy, K Ghosh, P Kumaraguru, A de Wynter",2025,0,"… In this work we compare encoder and encoder–decoder … Remark that logical classification requires aggregating … , and library versions (eg, PyTorch, Transformers), will be provided in the …",XwR_5tbIydkJ,"A Roy, K Ghosh, P Kumaraguru, A de Wynter - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2512.10561,unknown,unknown
"BTZSC: A Benchmark for Zero-Shot Text Classification Across Cross-Encoders, Embedding Models, Rerankers and LLMs",I Aarab,2026,1,"… Transformer Base Models. As a baseline, we include transformer-based encoder models … , indicating that entailment-aligned reasoning capabilities in instructiontuned LLMs remain …",jzntGGIoJLcJ,"I Aarab - arXiv preprint arXiv:2603.11991, 2026 - arxiv.org",[],https://arxiv.org/abs/2603.11991,unknown,unknown
Integrating Symbolic Reasoning into Large Language Models,V Dhanraj,2026,0,"… , we reveal that transformer models already encode numerical … representations of an LLM’s reasoning history, enabling … is formulated as a classification problem over the vocabulary. …",xpa4JC4H7k4J,V Dhanraj - 2026 - uwspace.uwaterloo.ca,[],https://uwspace.uwaterloo.ca/items/76e43b90-08a4-45c7-b28c-c1437d6e6b60,unknown,unknown
Towards transparent ai: A survey on explainable large language models,"A Palikhe, Z Yu, Z Wang, W Zhang",2025,45,"… of transformer-based architectures (encoder-decoder components … This classification organizes the XAI approaches into three … This offers an intuitive interface for assessing reasoning, …",izLvaxCKwb8J,"A Palikhe, Z Yu, Z Wang, W Zhang - arXiv preprint arXiv:2506.21812, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.21812,unknown,unknown
Enhancing llm reasoning for time series classification by tailored thinking and fused decision,"J Zhou, D Li, L Li, Z Chen, S Wu, H Ye, J Lou…",2025,4,"… Medformer: A multi-granularity patching transformer for medical time-series classification. In … Besides, Chronos [49] primarily focus on the variants of the encoder-decoder T5 model, and …",ElnEWiQLw38J,"J Zhou, D Li, L Li, Z Chen, S Wu, H Ye, J Lou… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.00807,unknown,unknown
